Fitness;Mutation;Crossover;Selection;Generations;Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;257;Genetic Algorithm;10;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;19173;2152;22,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;115;Genetic Algorithm;11;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;4365;1188;10,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;88;Genetic Algorithm;11;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2908;1114;9;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;98;Genetic Algorithm;11;WithPattern;Octile;OnlyWhenNoObstacles;Yes;2993;856;11,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;134;Genetic Algorithm;11;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;5235;1219;11,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;180;Genetic Algorithm;12;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;12300;2620;29,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;212;Genetic Algorithm;12;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;7289;1138;8;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;514;Genetic Algorithm;12;WithPattern;Octile;OnlyWhenNoObstacles;Yes;58281;3940;25,8284271247462;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;216;Genetic Algorithm;12;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;10076;1651;13;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;13;WithPattern;Manhattan;OnlyWhenNoObstacles;No;11915;941;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;13;WithPattern;Euclidean;OnlyWhenNoObstacles;No;10967;919;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;13;WithPattern;Octile;OnlyWhenNoObstacles;No;14622;1070;-1;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;737;Genetic Algorithm;13;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;73617;4125;40,2426406871193;
FitnessHeuristic;MutateEM;CrossoverPBX;SelectionRouletteWheel;200;Genetic Algorithm;14;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;15220;2601;28;
