Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
IDA* (IDA Star);5;WithPattern;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);5;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;5;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;541;5166;101,870057685089;
Dijkstra;5;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;556;5166;101,870057685089;
Dijkstra;5;WithPattern;Octile;OnlyWhenNoObstacles;Yes;542;5166;101,870057685089;
Dijkstra;5;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;539;5166;101,870057685089;
A* (A Star);6;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;154;2355;122,414213562373;
A* (A Star);6;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;247;3633;122,414213562373;
A* (A Star);6;WithPattern;Octile;OnlyWhenNoObstacles;Yes;222;3385;122,414213562373;
A* (A Star);6;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;324;4186;122,414213562373;
Best First Search;6;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;2;276;122,414213562373;
Best First Search;6;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;2;256;122,414213562373;
Best First Search;6;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1;256;122,414213562373;
Best First Search;6;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;2;261;124,414213562373;
IDA* (IDA Star);6;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;0;124,414213562373;
IDA* (IDA Star);6;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);6;WithPattern;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);6;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;6;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;793;6681;122,414213562373;
Dijkstra;6;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;798;6681;122,414213562373;
Dijkstra;6;WithPattern;Octile;OnlyWhenNoObstacles;Yes;803;6681;122,414213562373;
Dijkstra;6;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;796;6681;122,414213562373;
A* (A Star);7;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;6;363;98,556349186104;
A* (A Star);7;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;183;2457;98,556349186104;
A* (A Star);7;WithPattern;Octile;OnlyWhenNoObstacles;Yes;135;2099;98,556349186104;
A* (A Star);7;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;258;2936;98,556349186104;
Best First Search;7;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;4;346;119,811183182043;
Best First Search;7;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;4;342;121,367532368147;
Best First Search;7;WithPattern;Octile;OnlyWhenNoObstacles;Yes;3;328;119,367532368147;
Best First Search;7;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;2;284;98,556349186104;
IDA* (IDA Star);7;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;0;98,556349186104;
IDA* (IDA Star);7;WithPattern;Euclidean;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);7;WithPattern;Octile;OnlyWhenNoObstacles;No;5001;0;-1;
IDA* (IDA Star);7;WithPattern;Chebyshev;OnlyWhenNoObstacles;No;5001;0;-1;
Dijkstra;7;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;1351;6794;98,556349186104;
Dijkstra;7;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;1345;6794;98,556349186104;
Dijkstra;7;WithPattern;Octile;OnlyWhenNoObstacles;Yes;1379;6794;98,556349186104;
Dijkstra;7;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;1357;6794;98,556349186104;
A* (A Star);8;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;49;21,4142135623731;
A* (A Star);8;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;0;89;21,4142135623731;
A* (A Star);8;WithPattern;Octile;OnlyWhenNoObstacles;Yes;0;83;21,4142135623731;
A* (A Star);8;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;0;106;21,4142135623731;
Best First Search;8;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;49;21,4142135623731;
Best First Search;8;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;0;49;21,4142135623731;
Best First Search;8;WithPattern;Octile;OnlyWhenNoObstacles;Yes;0;49;21,4142135623731;
Best First Search;8;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;0;50;22,2426406871193;
IDA* (IDA Star);8;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;0;0;22,2426406871193;
IDA* (IDA Star);8;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;20;0;22,2426406871193;
IDA* (IDA Star);8;WithPattern;Octile;OnlyWhenNoObstacles;Yes;0;0;22,2426406871193;
IDA* (IDA Star);8;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;7;0;22,2426406871193;
Dijkstra;8;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;14;568;21,4142135623731;
Dijkstra;8;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;9;568;21,4142135623731;
Dijkstra;8;WithPattern;Octile;OnlyWhenNoObstacles;Yes;10;568;21,4142135623731;
Dijkstra;8;WithPattern;Chebyshev;OnlyWhenNoObstacles;Yes;9;568;21,4142135623731;
A* (A Star);9;WithPattern;Manhattan;OnlyWhenNoObstacles;Yes;1;204;68,7989898732233;
A* (A Star);9;WithPattern;Euclidean;OnlyWhenNoObstacles;Yes;24;865;68,7989898732233;
A* (A Star);9;WithPattern;Octile;OnlyWhenNoObstacles;Yes;17;757;68,7989898732233;
