Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Dijkstra;9;File;Manhattan;IfAtMostOneObstacle;Yes;595;4717;81,0832611206852;
Dijkstra;9;File;Euclidean;IfAtMostOneObstacle;Yes;594;4717;81,0832611206852;
Dijkstra;9;File;Octile;IfAtMostOneObstacle;Yes;593;4717;81,0832611206852;
Dijkstra;9;File;Chebyshev;IfAtMostOneObstacle;Yes;592;4717;81,0832611206852;
A* (A Star);10;File;Manhattan;IfAtMostOneObstacle;Yes;10;378;99,5685424949237;
A* (A Star);10;File;Euclidean;IfAtMostOneObstacle;Yes;154;1741;95,5685424949237;
A* (A Star);10;File;Octile;IfAtMostOneObstacle;Yes;106;1741;95,5685424949237;
A* (A Star);10;File;Chebyshev;IfAtMostOneObstacle;Yes;251;2330;95,5685424949237;
Best First Search;10;File;Manhattan;IfAtMostOneObstacle;Yes;6;2330;117,752308678997;
Best First Search;10;File;Euclidean;IfAtMostOneObstacle;Yes;3;2330;106,095454429505;
Best First Search;10;File;Octile;IfAtMostOneObstacle;Yes;3;2330;106,438600180013;
Best First Search;10;File;Chebyshev;IfAtMostOneObstacle;Yes;4;2330;103,325901807804;
Dijkstra;10;File;Manhattan;IfAtMostOneObstacle;Yes;2064;6821;95,5685424949237;
Dijkstra;10;File;Euclidean;IfAtMostOneObstacle;Yes;2071;6821;95,5685424949237;
Dijkstra;10;File;Octile;IfAtMostOneObstacle;Yes;2065;6821;95,5685424949237;
Dijkstra;10;File;Chebyshev;IfAtMostOneObstacle;Yes;2068;6821;95,5685424949237;
A* (A Star);11;File;Manhattan;IfAtMostOneObstacle;Yes;1;147;33,8994949366117;
A* (A Star);11;File;Euclidean;IfAtMostOneObstacle;Yes;2;167;33,8994949366117;
A* (A Star);11;File;Octile;IfAtMostOneObstacle;Yes;2;167;33,8994949366117;
A* (A Star);11;File;Chebyshev;IfAtMostOneObstacle;Yes;1;176;33,8994949366117;
Best First Search;11;File;Manhattan;IfAtMostOneObstacle;Yes;0;176;36,3847763108502;
Best First Search;11;File;Euclidean;IfAtMostOneObstacle;Yes;0;176;37,2132034355964;
Best First Search;11;File;Octile;IfAtMostOneObstacle;Yes;0;176;37,2132034355964;
Best First Search;11;File;Chebyshev;IfAtMostOneObstacle;Yes;0;176;33,8994949366117;
Dijkstra;11;File;Manhattan;IfAtMostOneObstacle;Yes;24;940;33,8994949366117;
Dijkstra;11;File;Euclidean;IfAtMostOneObstacle;Yes;26;940;33,8994949366117;
Dijkstra;11;File;Octile;IfAtMostOneObstacle;Yes;25;940;33,8994949366117;
Dijkstra;11;File;Chebyshev;IfAtMostOneObstacle;Yes;25;940;33,8994949366117;
A* (A Star);12;File;Manhattan;IfAtMostOneObstacle;Yes;3;327;92,7401153701775;
A* (A Star);12;File;Euclidean;IfAtMostOneObstacle;Yes;17;761;91,811183182043;
A* (A Star);12;File;Octile;IfAtMostOneObstacle;Yes;10;761;91,811183182043;
A* (A Star);12;File;Chebyshev;IfAtMostOneObstacle;Yes;31;1030;91,811183182043;
Best First Search;12;File;Manhattan;IfAtMostOneObstacle;Yes;3;1030;110,923881554251;
Best First Search;12;File;Euclidean;IfAtMostOneObstacle;Yes;2;1030;112,923881554251;
Best First Search;12;File;Octile;IfAtMostOneObstacle;Yes;1;1030;100,438600180013;
Best First Search;12;File;Chebyshev;IfAtMostOneObstacle;Yes;2;1030;98,7401153701775;
Dijkstra;12;File;Manhattan;IfAtMostOneObstacle;Yes;197;2705;91,811183182043;
Dijkstra;12;File;Euclidean;IfAtMostOneObstacle;Yes;218;2705;91,811183182043;
Dijkstra;12;File;Octile;IfAtMostOneObstacle;Yes;204;2705;91,811183182043;
Dijkstra;12;File;Chebyshev;IfAtMostOneObstacle;Yes;210;2705;91,811183182043;
A* (A Star);13;File;Manhattan;IfAtMostOneObstacle;Yes;86;1524;98,9827560572968;
A* (A Star);13;File;Euclidean;IfAtMostOneObstacle;Yes;210;2653;97,3259018078044;
A* (A Star);13;File;Octile;IfAtMostOneObstacle;Yes;211;2653;97,3259018078044;
A* (A Star);13;File;Chebyshev;IfAtMostOneObstacle;Yes;267;2954;97,3259018078044;
Best First Search;13;File;Manhattan;IfAtMostOneObstacle;Yes;3;2954;106,438600180013;
Best First Search;13;File;Euclidean;IfAtMostOneObstacle;Yes;3;2954;109,024386617639;
Best First Search;13;File;Octile;IfAtMostOneObstacle;Yes;3;2954;108,438600180013;
Best First Search;13;File;Chebyshev;IfAtMostOneObstacle;Yes;5;2954;104,39696961967;
Dijkstra;13;File;Manhattan;IfAtMostOneObstacle;Yes;922;5773;97,3259018078044;
Dijkstra;13;File;Euclidean;IfAtMostOneObstacle;Yes;956;5773;97,3259018078044;
Dijkstra;13;File;Octile;IfAtMostOneObstacle;Yes;937;5773;97,3259018078044;
Dijkstra;13;File;Chebyshev;IfAtMostOneObstacle;Yes;954;5773;97,3259018078044;
A* (A Star);14;File;Manhattan;IfAtMostOneObstacle;Yes;27;909;105,911688245431;
A* (A Star);14;File;Euclidean;IfAtMostOneObstacle;Yes;48;1285;101,325901807804;
A* (A Star);14;File;Octile;IfAtMostOneObstacle;Yes;24;1285;101,325901807804;
A* (A Star);14;File;Chebyshev;IfAtMostOneObstacle;Yes;94;1777;101,325901807804;
Best First Search;14;File;Manhattan;IfAtMostOneObstacle;Yes;12;1777;119,852813742386;
Best First Search;14;File;Euclidean;IfAtMostOneObstacle;Yes;7;1777;141,066017177982;
Best First Search;14;File;Octile;IfAtMostOneObstacle;Yes;8;1777;141,066017177982;
Best First Search;14;File;Chebyshev;IfAtMostOneObstacle;Yes;7;1777;136,539105243401;
Dijkstra;14;File;Manhattan;IfAtMostOneObstacle;Yes;819;5366;101,325901807804;
Dijkstra;14;File;Euclidean;IfAtMostOneObstacle;Yes;819;5366;101,325901807804;
Dijkstra;14;File;Octile;IfAtMostOneObstacle;Yes;804;5366;101,325901807804;
Dijkstra;14;File;Chebyshev;IfAtMostOneObstacle;Yes;831;5366;101,325901807804;
A* (A Star);15;File;Manhattan;IfAtMostOneObstacle;Yes;7;375;67,698484809835;
A* (A Star);15;File;Euclidean;IfAtMostOneObstacle;Yes;13;612;65,4558441227157;
A* (A Star);15;File;Octile;IfAtMostOneObstacle;Yes;8;612;65,4558441227157;
A* (A Star);15;File;Chebyshev;IfAtMostOneObstacle;Yes;42;1127;65,4558441227157;
Best First Search;15;File;Manhattan;IfAtMostOneObstacle;Yes;1;1127;75,1543289325507;
Best First Search;15;File;Euclidean;IfAtMostOneObstacle;Yes;1;1127;82,2253967444161;
Best First Search;15;File;Octile;IfAtMostOneObstacle;Yes;1;1127;82,2253967444161;
Best First Search;15;File;Chebyshev;IfAtMostOneObstacle;Yes;2;1127;78,5269119345812;
Dijkstra;15;File;Manhattan;IfAtMostOneObstacle;Yes;587;4560;65,4558441227157;
Dijkstra;15;File;Euclidean;IfAtMostOneObstacle;Yes;593;4560;65,4558441227157;
Dijkstra;15;File;Octile;IfAtMostOneObstacle;Yes;615;4560;65,4558441227157;
Dijkstra;15;File;Chebyshev;IfAtMostOneObstacle;Yes;615;4560;65,4558441227157;
A* (A Star);16;File;Manhattan;IfAtMostOneObstacle;Yes;4;284;85,4264068711928;
A* (A Star);16;File;Euclidean;IfAtMostOneObstacle;Yes;59;1383;84,7401153701775;
A* (A Star);16;File;Octile;IfAtMostOneObstacle;Yes;29;1383;84,7401153701775;
A* (A Star);16;File;Chebyshev;IfAtMostOneObstacle;Yes;107;1910;84,7401153701775;
