Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Dijkstra;12;File;Euclidean;Never;Yes;124;2790;53;
Dijkstra;12;File;Octile;Never;Yes;124;2790;53;
Dijkstra;12;File;Chebyshev;Never;Yes;124;2790;53;
A* (A Star);13;File;Manhattan;Never;Yes;4;371;61;
A* (A Star);13;File;Euclidean;Never;Yes;6;534;61;
A* (A Star);13;File;Octile;Never;Yes;5;534;61;
A* (A Star);13;File;Chebyshev;Never;Yes;8;614;61;
Best First Search;13;File;Manhattan;Never;Yes;1;614;89;
Best First Search;13;File;Euclidean;Never;Yes;0;614;89;
Best First Search;13;File;Octile;Never;Yes;0;614;89;
Best First Search;13;File;Chebyshev;Never;Yes;0;614;63;
Dijkstra;13;File;Manhattan;Never;Yes;83;2265;61;
Dijkstra;13;File;Euclidean;Never;Yes;83;2265;61;
Dijkstra;13;File;Octile;Never;Yes;82;2265;61;
Dijkstra;13;File;Chebyshev;Never;Yes;81;2265;61;
A* (A Star);14;File;Manhattan;Never;Yes;25;1045;82;
A* (A Star);14;File;Euclidean;Never;Yes;42;1466;82;
A* (A Star);14;File;Octile;Never;Yes;38;1466;82;
A* (A Star);14;File;Chebyshev;Never;Yes;57;1770;82;
Best First Search;14;File;Manhattan;Never;Yes;1;1770;96;
Best First Search;14;File;Euclidean;Never;Yes;1;1770;94;
Best First Search;14;File;Octile;Never;Yes;1;1770;94;
Best First Search;14;File;Chebyshev;Never;Yes;1;1770;86;
Dijkstra;14;File;Manhattan;Never;Yes;194;3560;82;
Dijkstra;14;File;Euclidean;Never;Yes;188;3560;82;
Dijkstra;14;File;Octile;Never;Yes;188;3560;82;
Dijkstra;14;File;Chebyshev;Never;Yes;188;3560;82;
A* (A Star);15;File;Manhattan;Never;Yes;13;695;115;
A* (A Star);15;File;Euclidean;Never;Yes;66;1947;115;
A* (A Star);15;File;Octile;Never;Yes;51;1947;115;
A* (A Star);15;File;Chebyshev;Never;Yes;72;2123;115;
Best First Search;15;File;Manhattan;Never;Yes;3;2123;149;
Best First Search;15;File;Euclidean;Never;Yes;2;2123;129;
Best First Search;15;File;Octile;Never;Yes;2;2123;135;
Best First Search;15;File;Chebyshev;Never;Yes;2;2123;123;
Dijkstra;15;File;Manhattan;Never;Yes;338;4815;115;
Dijkstra;15;File;Euclidean;Never;Yes;335;4815;115;
Dijkstra;15;File;Octile;Never;Yes;334;4815;115;
Dijkstra;15;File;Chebyshev;Never;Yes;336;4815;115;
A* (A Star);16;File;Manhattan;Never;Yes;44;1403;121;
A* (A Star);16;File;Euclidean;Never;Yes;94;2288;121;
A* (A Star);16;File;Octile;Never;Yes;84;2288;121;
A* (A Star);16;File;Chebyshev;Never;Yes;125;2704;121;
Best First Search;16;File;Manhattan;Never;Yes;3;2704;151;
Best First Search;16;File;Euclidean;Never;Yes;3;2704;155;
Best First Search;16;File;Octile;Never;Yes;3;2704;155;
Best First Search;16;File;Chebyshev;Never;Yes;3;2704;141;
Dijkstra;16;File;Manhattan;Never;Yes;433;5514;121;
Dijkstra;16;File;Euclidean;Never;Yes;434;5514;121;
Dijkstra;16;File;Octile;Never;Yes;430;5514;121;
Dijkstra;16;File;Chebyshev;Never;Yes;433;5514;121;
A* (A Star);17;File;Manhattan;Never;Yes;5;398;51;
A* (A Star);17;File;Euclidean;Never;Yes;9;624;51;
A* (A Star);17;File;Octile;Never;Yes;7;624;51;
A* (A Star);17;File;Chebyshev;Never;Yes;10;705;51;
Best First Search;17;File;Manhattan;Never;Yes;0;705;69;
Best First Search;17;File;Euclidean;Never;Yes;0;705;57;
Best First Search;17;File;Octile;Never;Yes;0;705;57;
Best First Search;17;File;Chebyshev;Never;Yes;0;705;55;
Dijkstra;17;File;Manhattan;Never;Yes;77;2214;51;
Dijkstra;17;File;Euclidean;Never;Yes;77;2214;51;
Dijkstra;17;File;Octile;Never;Yes;77;2214;51;
Dijkstra;17;File;Chebyshev;Never;Yes;76;2214;51;
A* (A Star);18;File;Manhattan;Never;Yes;74;1850;127;
A* (A Star);18;File;Euclidean;Never;Yes;111;2617;127;
A* (A Star);18;File;Octile;Never;Yes;104;2617;127;
A* (A Star);18;File;Chebyshev;Never;Yes;113;2698;127;
Best First Search;18;File;Manhattan;Never;Yes;2;2698;151;
