alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Dijkstra;11;Euclidean;OnlyWhenNoObstacles;Yes (223ms );223;1246;51,3137084989848;
Dijkstra;11;Octile;OnlyWhenNoObstacles;Yes (224ms );224;1246;51,3137084989848;
Dijkstra;11;Chebyshev;OnlyWhenNoObstacles;Yes (223ms );223;1246;51,3137084989848;
A* (A Star);12;Manhattan;OnlyWhenNoObstacles;Yes (200ms );200;1216;118,355339059327;
A* (A Star);12;Euclidean;OnlyWhenNoObstacles;Yes (607ms );607;2104;117,526911934581;
A* (A Star);12;Octile;OnlyWhenNoObstacles;Yes (445ms );445;1821;117,526911934581;
A* (A Star);12;Chebyshev;OnlyWhenNoObstacles;Yes (867ms );867;2490;117,526911934581;
Best First Search;12;Manhattan;OnlyWhenNoObstacles;Yes (16ms );16;364;137,7695526217;
Best First Search;12;Euclidean;OnlyWhenNoObstacles;Yes (10ms );10;308;135,183766184074;
Best First Search;12;Octile;OnlyWhenNoObstacles;Yes (11ms );11;311;135,183766184074;
Best First Search;12;Chebyshev;OnlyWhenNoObstacles;Yes (10ms );10;306;135,284271247462;
Dijkstra;12;Manhattan;OnlyWhenNoObstacles;Yes (4873ms );4873;5826;117,526911934581;
Dijkstra;12;Euclidean;OnlyWhenNoObstacles;Yes (4872ms );4872;5826;117,526911934581;
Dijkstra;12;Octile;OnlyWhenNoObstacles;Yes (4897ms );4897;5826;117,526911934581;
Dijkstra;12;Chebyshev;OnlyWhenNoObstacles;Yes (4894ms );4894;5826;117,526911934581;
A* (A Star);13;Manhattan;OnlyWhenNoObstacles;Yes (8ms );8;266;40,3137084989848;
A* (A Star);13;Euclidean;OnlyWhenNoObstacles;Yes (20ms );20;395;40,3137084989848;
A* (A Star);13;Octile;OnlyWhenNoObstacles;Yes (16ms );16;358;40,3137084989848;
A* (A Star);13;Chebyshev;OnlyWhenNoObstacles;Yes (32ms );32;482;40,3137084989848;
Best First Search;13;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;95;42,8994949366117;
Best First Search;13;Euclidean;OnlyWhenNoObstacles;Yes (1ms );1;90;41,7279220613579;
Best First Search;13;Octile;OnlyWhenNoObstacles;Yes (0ms );0;90;41,7279220613579;
Best First Search;13;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;89;42,0710678118655;
Dijkstra;13;Manhattan;OnlyWhenNoObstacles;Yes (506ms );506;1880;40,3137084989848;
Dijkstra;13;Euclidean;OnlyWhenNoObstacles;Yes (508ms );508;1880;40,3137084989848;
Dijkstra;13;Octile;OnlyWhenNoObstacles;Yes (502ms );502;1880;40,3137084989848;
Dijkstra;13;Chebyshev;OnlyWhenNoObstacles;Yes (503ms );503;1880;40,3137084989848;
A* (A Star);14;Manhattan;OnlyWhenNoObstacles;Yes (14ms );14;313;63,3847763108502;
A* (A Star);14;Euclidean;OnlyWhenNoObstacles;Yes (41ms );41;550;63,3847763108502;
A* (A Star);14;Octile;OnlyWhenNoObstacles;Yes (37ms );37;521;63,3847763108502;
