Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Dijkstra;9;WithPattern;Manhattan;Never;Yes;31;1305;34;
Dijkstra;9;WithPattern;Euclidean;Never;Yes;31;1305;34;
Dijkstra;9;WithPattern;Octile;Never;Yes;31;1305;34;
Dijkstra;9;WithPattern;Chebyshev;Never;Yes;33;1305;34;
A* (A Star);10;WithPattern;Manhattan;Never;Yes;3;337;94;
A* (A Star);10;WithPattern;Euclidean;Never;Yes;7;371;94;
A* (A Star);10;WithPattern;Octile;Never;Yes;8;337;94;
A* (A Star);10;WithPattern;Chebyshev;Never;Yes;6;395;94;
Best First Search;10;WithPattern;Manhattan;Never;Yes;1;219;126;
Best First Search;10;WithPattern;Euclidean;Never;Yes;1;219;126;
Best First Search;10;WithPattern;Octile;Never;Yes;1;219;126;
Best First Search;10;WithPattern;Chebyshev;Never;Yes;1;237;94;
IDA* (IDA Star);10;WithPattern;Manhattan;Never;Yes;0;0;94;
IDA* (IDA Star);10;WithPattern;Euclidean;Never;Yes;93;0;94;
IDA* (IDA Star);10;WithPattern;Octile;Never;Yes;0;0;94;
IDA* (IDA Star);10;WithPattern;Chebyshev;Never;Yes;10;0;94;
Dijkstra;10;WithPattern;Manhattan;Never;Yes;370;4376;94;
Dijkstra;10;WithPattern;Euclidean;Never;Yes;377;4376;94;
Dijkstra;10;WithPattern;Octile;Never;Yes;376;4376;94;
Dijkstra;10;WithPattern;Chebyshev;Never;Yes;375;4376;94;
A* (A Star);11;WithPattern;Manhattan;Never;Yes;6;499;60;
A* (A Star);11;WithPattern;Euclidean;Never;Yes;14;759;60;
A* (A Star);11;WithPattern;Octile;Never;Yes;12;708;60;
A* (A Star);11;WithPattern;Chebyshev;Never;Yes;20;952;60;
Best First Search;11;WithPattern;Manhattan;Never;Yes;0;117;64;
Best First Search;11;WithPattern;Euclidean;Never;Yes;0;101;60;
Best First Search;11;WithPattern;Octile;Never;Yes;0;101;60;
Best First Search;11;WithPattern;Chebyshev;Never;Yes;0;107;60;
IDA* (IDA Star);11;WithPattern;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);11;WithPattern;Euclidean;Never;No;5001;0;-1;
