Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Dijkstra;5;Random;Euclidean;IfAtMostOneObstacle;Yes;1246;6371;92,254833995939;
Dijkstra;5;Random;Octile;IfAtMostOneObstacle;Yes;1244;6371;92,254833995939;
Dijkstra;5;Random;Chebyshev;IfAtMostOneObstacle;Yes;1238;6371;92,254833995939;
A* (A Star);6;Random;Manhattan;IfAtMostOneObstacle;Yes;2;265;43,2132034355964;
A* (A Star);6;Random;Euclidean;IfAtMostOneObstacle;Yes;7;416;43,2132034355964;
A* (A Star);6;Random;Octile;IfAtMostOneObstacle;Yes;5;314;43,2132034355964;
A* (A Star);6;Random;Chebyshev;IfAtMostOneObstacle;Yes;10;515;43,2132034355964;
Best First Search;6;Random;Manhattan;IfAtMostOneObstacle;Yes;0;145;53,0121933088197;
Best First Search;6;Random;Euclidean;IfAtMostOneObstacle;Yes;0;133;53,0121933088197;
Best First Search;6;Random;Octile;IfAtMostOneObstacle;Yes;0;133;53,0121933088197;
Best First Search;6;Random;Chebyshev;IfAtMostOneObstacle;Yes;0;107;44,0416305603426;
IDA* (IDA Star);6;Random;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Random;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Random;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);6;Random;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;6;Random;Manhattan;IfAtMostOneObstacle;Yes;43;1133;43,2132034355964;
Dijkstra;6;Random;Euclidean;IfAtMostOneObstacle;Yes;40;1133;43,2132034355964;
Dijkstra;6;Random;Octile;IfAtMostOneObstacle;Yes;41;1133;43,2132034355964;
Dijkstra;6;Random;Chebyshev;IfAtMostOneObstacle;Yes;41;1133;43,2132034355964;
A* (A Star);7;Random;Manhattan;IfAtMostOneObstacle;Yes;3;271;51,8700576850888;
A* (A Star);7;Random;Euclidean;IfAtMostOneObstacle;Yes;7;433;49,8700576850888;
A* (A Star);7;Random;Octile;IfAtMostOneObstacle;Yes;5;320;49,8700576850888;
A* (A Star);7;Random;Chebyshev;IfAtMostOneObstacle;Yes;12;586;49,8700576850888;
