Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;11;File;Chebyshev;Never;Yes;0;60;16;
Dijkstra;11;File;Manhattan;Never;Yes;0;140;14;
Dijkstra;11;File;Euclidean;Never;Yes;0;140;14;
Dijkstra;11;File;Octile;Never;Yes;0;140;14;
Dijkstra;11;File;Chebyshev;Never;Yes;0;140;14;
A* (A Star);12;File;Manhattan;Never;Yes;0;43;10;
A* (A Star);12;File;Euclidean;Never;Yes;0;46;10;
A* (A Star);12;File;Octile;Never;Yes;0;46;10;
A* (A Star);12;File;Chebyshev;Never;Yes;0;50;10;
Best First Search;12;File;Manhattan;Never;Yes;0;50;10;
Best First Search;12;File;Euclidean;Never;Yes;0;50;10;
Best First Search;12;File;Octile;Never;Yes;0;50;10;
Best First Search;12;File;Chebyshev;Never;Yes;0;50;10;
Dijkstra;12;File;Manhattan;Never;Yes;0;140;10;
Dijkstra;12;File;Euclidean;Never;Yes;1;140;10;
Dijkstra;12;File;Octile;Never;Yes;0;140;10;
Dijkstra;12;File;Chebyshev;Never;Yes;0;140;10;
A* (A Star);13;File;Manhattan;Never;Yes;1;190;32;
A* (A Star);13;File;Euclidean;Never;Yes;2;241;32;
A* (A Star);13;File;Octile;Never;Yes;1;241;32;
A* (A Star);13;File;Chebyshev;Never;Yes;2;266;32;
Best First Search;13;File;Manhattan;Never;Yes;0;266;32;
Best First Search;13;File;Euclidean;Never;Yes;0;266;32;
Best First Search;13;File;Octile;Never;Yes;0;266;32;
Best First Search;13;File;Chebyshev;Never;Yes;0;266;32;
Dijkstra;13;File;Manhattan;Never;Yes;3;296;32;
Dijkstra;13;File;Euclidean;Never;Yes;3;296;32;
Dijkstra;13;File;Octile;Never;Yes;4;296;32;
Dijkstra;13;File;Chebyshev;Never;Yes;3;296;32;
A* (A Star);14;File;Manhattan;Never;Yes;1;168;26;
A* (A Star);14;File;Euclidean;Never;Yes;1;184;26;
A* (A Star);14;File;Octile;Never;Yes;1;184;26;
A* (A Star);14;File;Chebyshev;Never;Yes;1;190;26;
Best First Search;14;File;Manhattan;Never;Yes;0;190;26;
Best First Search;14;File;Euclidean;Never;Yes;0;190;26;
Best First Search;14;File;Octile;Never;Yes;0;190;26;
Best First Search;14;File;Chebyshev;Never;Yes;0;190;26;
Dijkstra;14;File;Manhattan;Never;Yes;3;278;26;
Dijkstra;14;File;Euclidean;Never;Yes;2;278;26;
Dijkstra;14;File;Octile;Never;Yes;2;278;26;
Dijkstra;14;File;Chebyshev;Never;Yes;2;278;26;
A* (A Star);15;File;Manhattan;Never;Yes;0;135;26;
A* (A Star);15;File;Euclidean;Never;Yes;1;170;26;
A* (A Star);15;File;Octile;Never;Yes;0;170;26;
A* (A Star);15;File;Chebyshev;Never;Yes;1;193;26;
Best First Search;15;File;Manhattan;Never;Yes;0;193;30;
Best First Search;15;File;Euclidean;Never;Yes;0;193;26;
Best First Search;15;File;Octile;Never;Yes;0;193;26;
Best First Search;15;File;Chebyshev;Never;Yes;0;193;26;
Dijkstra;15;File;Manhattan;Never;Yes;1;264;26;
Dijkstra;15;File;Euclidean;Never;Yes;2;264;26;
Dijkstra;15;File;Octile;Never;Yes;2;264;26;
Dijkstra;15;File;Chebyshev;Never;Yes;2;264;26;
A* (A Star);16;File;Manhattan;Never;Yes;0;32;13;
A* (A Star);16;File;Euclidean;Never;Yes;0;49;13;
A* (A Star);16;File;Octile;Never;Yes;0;49;13;
A* (A Star);16;File;Chebyshev;Never;Yes;0;61;13;
Best First Search;16;File;Manhattan;Never;Yes;0;61;13;
Best First Search;16;File;Euclidean;Never;Yes;0;61;15;
Best First Search;16;File;Octile;Never;Yes;0;61;15;
Best First Search;16;File;Chebyshev;Never;Yes;0;61;15;
Dijkstra;16;File;Manhattan;Never;Yes;1;189;13;
Dijkstra;16;File;Euclidean;Never;Yes;0;189;13;
Dijkstra;16;File;Octile;Never;Yes;1;189;13;
Dijkstra;16;File;Chebyshev;Never;Yes;1;189;13;
A* (A Star);17;File;Manhattan;Never;Yes;0;27;12;
A* (A Star);17;File;Euclidean;Never;Yes;0;27;12;
A* (A Star);17;File;Octile;Never;Yes;0;27;12;
A* (A Star);17;File;Chebyshev;Never;Yes;0;29;12;
Best First Search;17;File;Manhattan;Never;Yes;0;29;14;
Best First Search;17;File;Euclidean;Never;Yes;0;29;12;
Best First Search;17;File;Octile;Never;Yes;0;29;12;
Best First Search;17;File;Chebyshev;Never;Yes;0;29;12;
Dijkstra;17;File;Manhattan;Never;Yes;0;50;12;
Dijkstra;17;File;Euclidean;Never;Yes;0;50;12;
Dijkstra;17;File;Octile;Never;Yes;0;50;12;
Dijkstra;17;File;Chebyshev;Never;Yes;0;50;12;
A* (A Star);18;File;Manhattan;Never;Yes;0;65;13;
A* (A Star);18;File;Euclidean;Never;Yes;0;71;13;
A* (A Star);18;File;Octile;Never;Yes;0;71;13;
A* (A Star);18;File;Chebyshev;Never;Yes;0;87;13;
Best First Search;18;File;Manhattan;Never;Yes;0;87;13;
Best First Search;18;File;Euclidean;Never;Yes;0;87;13;
Best First Search;18;File;Octile;Never;Yes;0;87;13;
Best First Search;18;File;Chebyshev;Never;Yes;0;87;13;
Dijkstra;18;File;Manhattan;Never;Yes;3;265;13;
Dijkstra;18;File;Euclidean;Never;Yes;3;265;13;
Dijkstra;18;File;Octile;Never;Yes;2;265;13;
Dijkstra;18;File;Chebyshev;Never;Yes;3;265;13;
A* (A Star);19;File;Manhattan;Never;Yes;0;27;9;
A* (A Star);19;File;Euclidean;Never;Yes;0;34;9;
A* (A Star);19;File;Octile;Never;Yes;0;34;9;
A* (A Star);19;File;Chebyshev;Never;Yes;0;45;9;
Best First Search;19;File;Manhattan;Never;Yes;0;45;9;
Best First Search;19;File;Euclidean;Never;Yes;0;45;9;
Best First Search;19;File;Octile;Never;Yes;0;45;9;
Best First Search;19;File;Chebyshev;Never;Yes;0;45;9;
Dijkstra;19;File;Manhattan;Never;Yes;0;89;9;
Dijkstra;19;File;Euclidean;Never;Yes;0;89;9;
Dijkstra;19;File;Octile;Never;Yes;0;89;9;
Dijkstra;19;File;Chebyshev;Never;Yes;0;89;9;
A* (A Star);20;File;Manhattan;Never;Yes;0;30;10;
A* (A Star);20;File;Euclidean;Never;Yes;0;32;10;
A* (A Star);20;File;Octile;Never;Yes;0;32;10;
A* (A Star);20;File;Chebyshev;Never;Yes;0;40;10;
Best First Search;20;File;Manhattan;Never;Yes;0;40;12;
Best First Search;20;File;Euclidean;Never;Yes;0;40;10;
Best First Search;20;File;Octile;Never;Yes;0;40;10;
Best First Search;20;File;Chebyshev;Never;Yes;0;40;10;
Dijkstra;20;File;Manhattan;Never;Yes;0;110;10;
Dijkstra;20;File;Euclidean;Never;Yes;0;110;10;
Dijkstra;20;File;Octile;Never;Yes;0;110;10;
Dijkstra;20;File;Chebyshev;Never;Yes;0;110;10;
A* (A Star);21;File;Manhattan;Never;Yes;0;54;19;
A* (A Star);21;File;Euclidean;Never;Yes;0;78;19;
A* (A Star);21;File;Octile;Never;Yes;0;78;19;
A* (A Star);21;File;Chebyshev;Never;Yes;0;99;19;
Best First Search;21;File;Manhattan;Never;Yes;0;99;19;
Best First Search;21;File;Euclidean;Never;Yes;0;99;19;
Best First Search;21;File;Octile;Never;Yes;0;99;19;
Best First Search;21;File;Chebyshev;Never;Yes;0;99;19;
Dijkstra;21;File;Manhattan;Never;Yes;1;201;19;
Dijkstra;21;File;Euclidean;Never;Yes;0;201;19;
Dijkstra;21;File;Octile;Never;Yes;1;201;19;
Dijkstra;21;File;Chebyshev;Never;Yes;1;201;19;
