alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Dijkstra;7;Chebyshev;Never;Yes (0ms );0;65;11;
IDA* (IDA Star);7;Manhattan;Never;Yes (0ms );0;0;11;
IDA* (IDA Star);7;Euclidean;Never;Yes (1ms );1;0;11;
IDA* (IDA Star);7;Octile;Never;Yes (0ms );0;0;11;
IDA* (IDA Star);7;Chebyshev;Never;Yes (0ms );0;0;11;
A* (A Star);8;Manhattan;Never;Yes (0ms );0;54;18;
A* (A Star);8;Euclidean;Never;Yes (0ms );0;64;18;
A* (A Star);8;Octile;Never;Yes (0ms );0;63;18;
A* (A Star);8;Chebyshev;Never;Yes (0ms );0;75;18;
Best First Search;8;Manhattan;Never;Yes (0ms );0;44;18;
Best First Search;8;Euclidean;Never;Yes (0ms );0;38;18;
Best First Search;8;Octile;Never;Yes (0ms );0;35;18;
Best First Search;8;Chebyshev;Never;Yes (0ms );0;33;18;
Dijkstra;8;Manhattan;Never;Yes (1ms );1;106;18;
Dijkstra;8;Euclidean;Never;Yes (1ms );1;106;18;
Dijkstra;8;Octile;Never;Yes (1ms );1;106;18;
Dijkstra;8;Chebyshev;Never;Yes (1ms );1;106;18;
IDA* (IDA Star);8;Manhattan;Never;Yes (1ms );1;0;18;
IDA* (IDA Star);8;Euclidean;Never;Yes (217ms );217;0;18;
IDA* (IDA Star);8;Octile;Never;Yes (49ms );49;0;18;
IDA* (IDA Star);8;Chebyshev;Never;Yes (147ms );147;0;18;
A* (A Star);9;Manhattan;Never;Yes (0ms );0;66;25;
A* (A Star);9;Euclidean;Never;Yes (0ms );0;79;25;
A* (A Star);9;Octile;Never;Yes (0ms );0;77;25;
A* (A Star);9;Chebyshev;Never;Yes (0ms );0;87;25;
Best First Search;9;Manhattan;Never;Yes (0ms );0;57;25;
Best First Search;9;Euclidean;Never;Yes (1ms );1;55;25;
Best First Search;9;Octile;Never;Yes (0ms );0;55;25;
Best First Search;9;Chebyshev;Never;Yes (0ms );0;51;25;
Dijkstra;9;Manhattan;Never;Yes (1ms );1;117;25;
Dijkstra;9;Euclidean;Never;Yes (1ms );1;117;25;
Dijkstra;9;Octile;Never;Yes (1ms );1;117;25;
Dijkstra;9;Chebyshev;Never;Yes (1ms );1;117;25;
IDA* (IDA Star);9;Manhattan;Never;Yes (4ms );4;0;25;
IDA* (IDA Star);9;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);9;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);9;Chebyshev;Never;No;1001;0;-1;
A* (A Star);10;Manhattan;Never;Yes (1ms );1;105;25;
A* (A Star);10;Euclidean;Never;Yes (1ms );1;123;25;
A* (A Star);10;Octile;Never;Yes (1ms );1;117;25;
A* (A Star);10;Chebyshev;Never;Yes (1ms );1;135;25;
Best First Search;10;Manhattan;Never;Yes (0ms );0;48;25;
Best First Search;10;Euclidean;Never;Yes (0ms );0;49;25;
Best First Search;10;Octile;Never;Yes (0ms );0;49;25;
Best First Search;10;Chebyshev;Never;Yes (0ms );0;51;25;
Dijkstra;10;Manhattan;Never;Yes (3ms );3;188;25;
Dijkstra;10;Euclidean;Never;Yes (5ms );5;188;25;
Dijkstra;10;Octile;Never;Yes (2ms );2;188;25;
Dijkstra;10;Chebyshev;Never;Yes (2ms );2;188;25;
IDA* (IDA Star);10;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);10;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);10;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);10;Chebyshev;Never;No;1001;0;-1;
A* (A Star);11;Manhattan;Never;Yes (0ms );0;101;30;
A* (A Star);11;Euclidean;Never;Yes (1ms );1;118;30;
A* (A Star);11;Octile;Never;Yes (1ms );1;113;30;
A* (A Star);11;Chebyshev;Never;Yes (2ms );2;125;30;
Best First Search;11;Manhattan;Never;Yes (2ms );2;75;30;
Best First Search;11;Euclidean;Never;Yes (0ms );0;70;30;
Best First Search;11;Octile;Never;Yes (0ms );0;70;30;
Best First Search;11;Chebyshev;Never;Yes (0ms );0;73;32;
Dijkstra;11;Manhattan;Never;Yes (3ms );3;161;30;
Dijkstra;11;Euclidean;Never;Yes (2ms );2;161;30;
Dijkstra;11;Octile;Never;Yes (2ms );2;161;30;
Dijkstra;11;Chebyshev;Never;Yes (3ms );3;161;30;
IDA* (IDA Star);11;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);11;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);11;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);11;Chebyshev;Never;No;1001;0;-1;
A* (A Star);12;Manhattan;Never;Yes (3ms );3;187;42;
A* (A Star);12;Euclidean;Never;Yes (3ms );3;208;42;
A* (A Star);12;Octile;Never;Yes (4ms );4;201;42;
A* (A Star);12;Chebyshev;Never;Yes (5ms );5;226;42;
Best First Search;12;Manhattan;Never;Yes (1ms );1;122;42;
Best First Search;12;Euclidean;Never;Yes (0ms );0;96;42;
Best First Search;12;Octile;Never;Yes (1ms );1;90;42;
Best First Search;12;Chebyshev;Never;Yes (0ms );0;88;42;
Dijkstra;12;Manhattan;Never;Yes (9ms );9;255;42;
Dijkstra;12;Euclidean;Never;Yes (7ms );7;255;42;
Dijkstra;12;Octile;Never;Yes (5ms );5;255;42;
Dijkstra;12;Chebyshev;Never;Yes (7ms );7;255;42;
IDA* (IDA Star);12;Manhattan;Never;No;1001;0;-1;
IDA* (IDA Star);12;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);12;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);12;Chebyshev;Never;No;1001;0;-1;
A* (A Star);13;Manhattan;Never;Yes (1ms );1;78;27;
A* (A Star);13;Euclidean;Never;Yes (0ms );0;85;27;
A* (A Star);13;Octile;Never;Yes (0ms );0;84;27;
A* (A Star);13;Chebyshev;Never;Yes (0ms );0;93;27;
Best First Search;13;Manhattan;Never;Yes (0ms );0;57;27;
Best First Search;13;Euclidean;Never;Yes (0ms );0;48;27;
Best First Search;13;Octile;Never;Yes (0ms );0;48;27;
Best First Search;13;Chebyshev;Never;Yes (0ms );0;48;27;
Dijkstra;13;Manhattan;Never;Yes (1ms );1;146;27;
Dijkstra;13;Euclidean;Never;Yes (1ms );1;146;27;
Dijkstra;13;Octile;Never;Yes (4ms );4;146;27;
Dijkstra;13;Chebyshev;Never;Yes (2ms );2;146;27;
IDA* (IDA Star);13;Manhattan;Never;Yes (159ms );159;0;27;
IDA* (IDA Star);13;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);13;Octile;Never;No;1001;0;-1;
IDA* (IDA Star);13;Chebyshev;Never;No;1001;0;-1;
A* (A Star);14;Manhattan;Never;Yes (0ms );0;40;18;
A* (A Star);14;Euclidean;Never;Yes (0ms );0;46;18;
A* (A Star);14;Octile;Never;Yes (0ms );0;43;18;
A* (A Star);14;Chebyshev;Never;Yes (0ms );0;51;18;
Best First Search;14;Manhattan;Never;Yes (0ms );0;32;18;
Best First Search;14;Euclidean;Never;Yes (0ms );0;32;18;
Best First Search;14;Octile;Never;Yes (0ms );0;32;18;
Best First Search;14;Chebyshev;Never;Yes (0ms );0;32;18;
Dijkstra;14;Manhattan;Never;Yes (1ms );1;121;18;
Dijkstra;14;Euclidean;Never;Yes (1ms );1;121;18;
Dijkstra;14;Octile;Never;Yes (1ms );1;121;18;
Dijkstra;14;Chebyshev;Never;Yes (1ms );1;121;18;
IDA* (IDA Star);14;Manhattan;Never;Yes (0ms );0;0;18;
IDA* (IDA Star);14;Euclidean;Never;Yes (19ms );19;0;18;
IDA* (IDA Star);14;Octile;Never;Yes (5ms );5;0;18;
IDA* (IDA Star);14;Chebyshev;Never;Yes (26ms );26;0;18;
A* (A Star);15;Manhattan;Never;Yes (0ms );0;86;27;
A* (A Star);15;Euclidean;Never;Yes (1ms );1;103;27;
A* (A Star);15;Octile;Never;Yes (0ms );0;97;27;
A* (A Star);15;Chebyshev;Never;Yes (1ms );1;123;27;
Best First Search;15;Manhattan;Never;Yes (0ms );0;55;27;
Best First Search;15;Euclidean;Never;Yes (0ms );0;55;27;
Best First Search;15;Octile;Never;Yes (0ms );0;55;27;
Best First Search;15;Chebyshev;Never;Yes (0ms );0;56;27;
Dijkstra;15;Manhattan;Never;Yes (3ms );3;182;27;
Dijkstra;15;Euclidean;Never;Yes (4ms );4;182;27;
Dijkstra;15;Octile;Never;Yes (2ms );2;182;27;
Dijkstra;15;Chebyshev;Never;Yes (4ms );4;182;27;
IDA* (IDA Star);15;Manhattan;Never;Yes (63ms );63;0;27;
IDA* (IDA Star);15;Euclidean;Never;No;1001;0;-1;
IDA* (IDA Star);15;Octile;Never;Yes (267ms );267;0;27;
IDA* (IDA Star);15;Chebyshev;Never;Yes (206ms );206;0;27;
A* (A Star);16;Manhattan;Never;Yes (0ms );0;37;12;
A* (A Star);16;Euclidean;Never;Yes (0ms );0;41;12;
A* (A Star);16;Octile;Never;Yes (0ms );0;39;12;
A* (A Star);16;Chebyshev;Never;Yes (0ms );0;48;12;
Best First Search;16;Manhattan;Never;Yes (0ms );0;29;14;
Best First Search;16;Euclidean;Never;Yes (0ms );0;21;12;
Best First Search;16;Octile;Never;Yes (0ms );0;21;12;
Best First Search;16;Chebyshev;Never;Yes (0ms );0;21;12;
Dijkstra;16;Manhattan;Never;Yes (1ms );1;116;12;
Dijkstra;16;Euclidean;Never;Yes (3ms );3;116;12;
Dijkstra;16;Octile;Never;Yes (2ms );2;116;12;
Dijkstra;16;Chebyshev;Never;Yes (1ms );1;116;12;
IDA* (IDA Star);16;Manhattan;Never;Yes (0ms );0;0;12;
IDA* (IDA Star);16;Euclidean;Never;Yes (5ms );5;0;12;
IDA* (IDA Star);16;Octile;Never;Yes (0ms );0;0;12;
IDA* (IDA Star);16;Chebyshev;Never;Yes (2ms );2;0;12;
A* (A Star);17;Manhattan;Never;Yes (0ms );0;45;17;
A* (A Star);17;Euclidean;Never;Yes (0ms );0;49;17;
A* (A Star);17;Octile;Never;Yes (0ms );0;49;17;
A* (A Star);17;Chebyshev;Never;Yes (0ms );0;54;17;
Best First Search;17;Manhattan;Never;Yes (0ms );0;40;17;
Best First Search;17;Euclidean;Never;Yes (0ms );0;31;17;
Best First Search;17;Octile;Never;Yes (0ms );0;32;17;
Best First Search;17;Chebyshev;Never;Yes (0ms );0;33;17;
Dijkstra;17;Manhattan;Never;Yes (1ms );1;96;17;
Dijkstra;17;Euclidean;Never;Yes (0ms );0;96;17;
Dijkstra;17;Octile;Never;Yes (1ms );1;96;17;
Dijkstra;17;Chebyshev;Never;Yes (0ms );0;96;17;
IDA* (IDA Star);17;Manhattan;Never;Yes (0ms );0;0;17;
IDA* (IDA Star);17;Euclidean;Never;Yes (18ms );18;0;17;
IDA* (IDA Star);17;Octile;Never;Yes (4ms );4;0;17;
IDA* (IDA Star);17;Chebyshev;Never;Yes (5ms );5;0;17;
A* (A Star);18;Manhattan;OnlyWhenNoObstacles;Yes (1ms );1;56;17,2426406871193;
A* (A Star);18;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;68;17,2426406871193;
A* (A Star);18;Octile;OnlyWhenNoObstacles;Yes (0ms );0;67;17,2426406871193;
A* (A Star);18;Chebyshev;OnlyWhenNoObstacles;Yes (1ms );1;81;17,2426406871193;
Best First Search;18;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;70;17,2426406871193;
Best First Search;18;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;70;17,2426406871193;
Best First Search;18;Octile;OnlyWhenNoObstacles;Yes (1ms );1;70;17,2426406871193;
Best First Search;18;Chebyshev;OnlyWhenNoObstacles;Yes (0ms );0;54;19,2426406871193;
Dijkstra;18;Manhattan;OnlyWhenNoObstacles;Yes (2ms );2;132;17,2426406871193;
Dijkstra;18;Euclidean;OnlyWhenNoObstacles;Yes (3ms );3;132;17,2426406871193;
Dijkstra;18;Octile;OnlyWhenNoObstacles;Yes (2ms );2;132;17,2426406871193;
Dijkstra;18;Chebyshev;OnlyWhenNoObstacles;Yes (3ms );3;132;17,2426406871193;
IDA* (IDA Star);18;Manhattan;OnlyWhenNoObstacles;Yes (68ms );68;0;17,2426406871193;
IDA* (IDA Star);18;Euclidean;OnlyWhenNoObstacles;Yes (930ms );930;0;17,2426406871193;
IDA* (IDA Star);18;Octile;OnlyWhenNoObstacles;Yes (110ms );110;0;17,2426406871193;
IDA* (IDA Star);18;Chebyshev;OnlyWhenNoObstacles;Yes (359ms );359;0;17,2426406871193;
A* (A Star);19;Manhattan;OnlyWhenNoObstacles;Yes (0ms );0;41;12,2426406871193;
A* (A Star);19;Euclidean;OnlyWhenNoObstacles;Yes (0ms );0;46;12,2426406871193;
A* (A Star);19;Octile;OnlyWhenNoObstacles;Yes (0ms );0;45;12,2426406871193;
