Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
Best First Search;6;WithPattern;Octile;Always;Yes;1;190;79,811183182043;
Best First Search;6;WithPattern;Chebyshev;Always;Yes;1;190;78,8406204335659;
IDA* (IDA Star);6;WithPattern;Manhattan;Always;Yes;0;0;78,8406204335659;
IDA* (IDA Star);6;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);6;WithPattern;Octile;Always;No;5001;0;-1;
IDA* (IDA Star);6;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;6;WithPattern;Manhattan;Always;Yes;711;4752;76,4974746830583;
Dijkstra;6;WithPattern;Euclidean;Always;Yes;706;4752;76,4974746830583;
Dijkstra;6;WithPattern;Octile;Always;Yes;715;4752;76,4974746830583;
Dijkstra;6;WithPattern;Chebyshev;Always;Yes;707;4752;76,4974746830583;
A* (A Star);7;WithPattern;Manhattan;Always;Yes;0;133;39,556349186104;
A* (A Star);7;WithPattern;Euclidean;Always;Yes;2;252;35,7989898732233;
A* (A Star);7;WithPattern;Octile;Always;Yes;2;191;35,7989898732233;
A* (A Star);7;WithPattern;Chebyshev;Always;Yes;6;382;35,7989898732233;
Best First Search;7;WithPattern;Manhattan;Always;Yes;0;99;42,6274169979695;
Best First Search;7;WithPattern;Euclidean;Always;Yes;0;90;36,6274169979695;
Best First Search;7;WithPattern;Octile;Always;Yes;0;90;36,6274169979695;
Best First Search;7;WithPattern;Chebyshev;Always;Yes;0;101;40,8700576850888;
IDA* (IDA Star);7;WithPattern;Manhattan;Always;Yes;0;0;40,8700576850888;
IDA* (IDA Star);7;WithPattern;Euclidean;Always;Yes;2384;0;40,8700576850888;
IDA* (IDA Star);7;WithPattern;Octile;Always;Yes;0;0;40,8700576850888;
IDA* (IDA Star);7;WithPattern;Chebyshev;Always;No;5001;0;-1;
Dijkstra;7;WithPattern;Manhattan;Always;Yes;209;2587;35,7989898732233;
Dijkstra;7;WithPattern;Euclidean;Always;Yes;211;2587;35,7989898732233;
Dijkstra;7;WithPattern;Octile;Always;Yes;211;2587;35,7989898732233;
Dijkstra;7;WithPattern;Chebyshev;Always;Yes;213;2587;35,7989898732233;
A* (A Star);8;WithPattern;Manhattan;Always;Yes;5;324;72,3137084989847;
A* (A Star);8;WithPattern;Euclidean;Always;Yes;5;373;71,4852813742386;
A* (A Star);8;WithPattern;Octile;Always;Yes;3;288;71,4852813742386;
A* (A Star);8;WithPattern;Chebyshev;Always;Yes;12;522;71,4852813742386;
Best First Search;8;WithPattern;Manhattan;Always;Yes;1;178;82,0121933088197;
Best First Search;8;WithPattern;Euclidean;Always;Yes;1;173;80,5979797464466;
Best First Search;8;WithPattern;Octile;Always;Yes;1;173;80,5979797464466;
Best First Search;8;WithPattern;Chebyshev;Always;Yes;1;174;82,0121933088197;
IDA* (IDA Star);8;WithPattern;Manhattan;Always;Yes;0;0;82,0121933088197;
IDA* (IDA Star);8;WithPattern;Euclidean;Always;No;5001;0;-1;
IDA* (IDA Star);8;WithPattern;Octile;Always;Yes;0;0;82,0121933088197;
IDA* (IDA Star);8;WithPattern;Chebyshev;Always;Yes;374;0;82,0121933088197;
Dijkstra;8;WithPattern;Manhattan;Always;Yes;867;5256;71,4852813742386;
Dijkstra;8;WithPattern;Euclidean;Always;Yes;872;5256;71,4852813742386;
Dijkstra;8;WithPattern;Octile;Always;Yes;873;5256;71,4852813742386;
Dijkstra;8;WithPattern;Chebyshev;Always;Yes;871;5256;71,4852813742386;
A* (A Star);9;WithPattern;Manhattan;Always;Yes;5;324;72,3137084989847;
A* (A Star);9;WithPattern;Euclidean;Always;Yes;5;373;71,4852813742386;
A* (A Star);9;WithPattern;Octile;Always;Yes;3;288;71,4852813742386;
A* (A Star);9;WithPattern;Chebyshev;Always;Yes;12;522;71,4852813742386;
Best First Search;9;WithPattern;Manhattan;Always;Yes;1;178;82,0121933088197;
Best First Search;9;WithPattern;Euclidean;Always;Yes;1;173;80,5979797464466;
