alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Manhattan;Never;No;11765;1009;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;511;Genetic Algorithm;2;Manhattan;Never;Yes (13553ms );13553;1878;22;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;384;Genetic Algorithm;2;Manhattan;Never;Yes (10231ms );10231;2001;20;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;323;Genetic Algorithm;2;Manhattan;Never;Yes (5342ms );5342;1027;13;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;441;Genetic Algorithm;2;Manhattan;Never;Yes (9804ms );9804;1764;20;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Euclidean;Never;No;12631;906;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Euclidean;Never;No;12074;1024;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Euclidean;Never;No;14872;1058;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Euclidean;Never;No;12346;888;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;488;Genetic Algorithm;2;Euclidean;Never;Yes (8676ms );8676;1034;11;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;551;Genetic Algorithm;2;Euclidean;Never;Yes (13114ms );13114;1386;10;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;307;Genetic Algorithm;2;Euclidean;Never;Yes (7640ms );7640;1943;20;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;638;Genetic Algorithm;2;Euclidean;Never;Yes (19458ms );19458;2136;24;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Octile;Never;No;12167;905;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Octile;Never;No;11334;849;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Octile;Never;No;16862;1148;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;608;Genetic Algorithm;2;Octile;Never;Yes (7537ms );7537;772;12;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;2;Octile;Never;No;24360;1371;-1;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;459;Genetic Algorithm;2;Octile;Never;Yes (9349ms );9349;1695;20;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;310;Genetic Algorithm;2;Octile;Never;Yes (6319ms );6319;1390;15;
FitnessWithCollisionDetectionAndCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;319;Genetic Algorithm;2;Octile;Never;Yes (6193ms );6193;1189;13;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;No;16090;813;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;No;14789;800;-1;
FitnessWithCirclicValidation;MutateEM;CrossoverPBX;SelectionRouletteWheel;1000;Genetic Algorithm;3;Manhattan;OnlyWhenNoObstacles;No;14831;855;-1;
