alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Dijkstra;6;Euclidean;IfAtMostOneObstacle;Yes (2253ms );2253;3320;63,1126983722081;
Dijkstra;6;Octile;IfAtMostOneObstacle;Yes (2276ms );2276;3320;63,1126983722081;
Dijkstra;6;Chebyshev;IfAtMostOneObstacle;Yes (2435ms );2435;3320;63,1126983722081;
A* (A Star);7;Manhattan;IfAtMostOneObstacle;Yes (16ms );16;339;71,2842712474619;
A* (A Star);7;Euclidean;IfAtMostOneObstacle;Yes (56ms );56;580;70,4558441227157;
A* (A Star);7;Octile;IfAtMostOneObstacle;Yes (24ms );24;385;70,4558441227157;
A* (A Star);7;Chebyshev;IfAtMostOneObstacle;Yes (110ms );110;769;70,4558441227157;
Best First Search;7;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;176;72,1126983722081;
Best First Search;7;Euclidean;IfAtMostOneObstacle;Yes (3ms );3;176;72,1126983722081;
Best First Search;7;Octile;IfAtMostOneObstacle;Yes (3ms );3;176;72,1126983722081;
Best First Search;7;Chebyshev;IfAtMostOneObstacle;Yes (4ms );4;185;74,1126983722081;
Dijkstra;7;Manhattan;IfAtMostOneObstacle;Yes (3200ms );3200;3927;70,4558441227157;
Dijkstra;7;Euclidean;IfAtMostOneObstacle;Yes (3195ms );3195;3927;70,4558441227157;
Dijkstra;7;Octile;IfAtMostOneObstacle;Yes (3390ms );3390;3927;70,4558441227157;
Dijkstra;7;Chebyshev;IfAtMostOneObstacle;Yes (3206ms );3206;3927;70,4558441227157;
A* (A Star);8;Manhattan;IfAtMostOneObstacle;Yes (35ms );35;458;54,0416305603426;
A* (A Star);8;Euclidean;IfAtMostOneObstacle;Yes (84ms );84;650;53,2132034355964;
A* (A Star);8;Octile;IfAtMostOneObstacle;Yes (62ms );62;592;53,2132034355964;
A* (A Star);8;Chebyshev;IfAtMostOneObstacle;Yes (91ms );91;723;53,2132034355964;
Best First Search;8;Manhattan;IfAtMostOneObstacle;Yes (12ms );12;280;73,7401153701776;
Best First Search;8;Euclidean;IfAtMostOneObstacle;Yes (7ms );7;225;75,7401153701776;
Best First Search;8;Octile;IfAtMostOneObstacle;Yes (7ms );7;229;75,7401153701776;
Best First Search;8;Chebyshev;IfAtMostOneObstacle;Yes (2ms );2;143;56,2842712474619;
Dijkstra;8;Manhattan;IfAtMostOneObstacle;Yes (2125ms );2125;3266;53,2132034355964;
Dijkstra;8;Euclidean;IfAtMostOneObstacle;Yes (2166ms );2166;3266;53,2132034355964;
Dijkstra;8;Octile;IfAtMostOneObstacle;Yes (2446ms );2446;3266;53,2132034355964;
Dijkstra;8;Chebyshev;IfAtMostOneObstacle;Yes (2228ms );2228;3266;53,2132034355964;
A* (A Star);9;Manhattan;IfAtMostOneObstacle;Yes (15ms );15;293;72,254833995939;
A* (A Star);9;Euclidean;IfAtMostOneObstacle;Yes (168ms );168;904;68,9411254969542;
A* (A Star);9;Octile;IfAtMostOneObstacle;Yes (92ms );92;724;68,9411254969542;
A* (A Star);9;Chebyshev;IfAtMostOneObstacle;Yes (346ms );346;1317;68,9411254969542;
Best First Search;9;Manhattan;IfAtMostOneObstacle;Yes (5ms );5;214;80,6396103067892;
Best First Search;9;Euclidean;IfAtMostOneObstacle;Yes (7ms );7;222;80,6396103067892;
Best First Search;9;Octile;IfAtMostOneObstacle;Yes (7ms );7;224;80,6396103067892;
Best First Search;9;Chebyshev;IfAtMostOneObstacle;Yes (10ms );10;235;80,4974746830583;
Dijkstra;9;Manhattan;IfAtMostOneObstacle;Yes (13690ms );13690;6267;68,9411254969542;
Dijkstra;9;Euclidean;IfAtMostOneObstacle;Yes (8397ms );8397;6267;68,9411254969542;
Dijkstra;9;Octile;IfAtMostOneObstacle;Yes (8610ms );8610;6267;68,9411254969542;
Dijkstra;9;Chebyshev;IfAtMostOneObstacle;Yes (9058ms );9058;6267;68,9411254969542;
A* (A Star);10;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;59;19,2426406871193;
A* (A Star);10;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;68;19,2426406871193;
A* (A Star);10;Octile;IfAtMostOneObstacle;Yes (0ms );0;59;19,2426406871193;
A* (A Star);10;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;81;19,2426406871193;
Best First Search;10;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;53;22,5563491861041;
Best First Search;10;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;53;22,5563491861041;
Best First Search;10;Octile;IfAtMostOneObstacle;Yes (0ms );0;53;22,5563491861041;
Best First Search;10;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;51;19,2426406871193;
Dijkstra;10;Manhattan;IfAtMostOneObstacle;Yes (79ms );79;626;19,2426406871193;
Dijkstra;10;Euclidean;IfAtMostOneObstacle;Yes (82ms );82;626;19,2426406871193;
Dijkstra;10;Octile;IfAtMostOneObstacle;Yes (91ms );91;626;19,2426406871193;
Dijkstra;10;Chebyshev;IfAtMostOneObstacle;Yes (64ms );64;626;19,2426406871193;
A* (A Star);11;Manhattan;IfAtMostOneObstacle;Yes (316ms );316;1191;86,5979797464466;
A* (A Star);11;Euclidean;IfAtMostOneObstacle;Yes (548ms );548;1590;84,0121933088197;
A* (A Star);11;Octile;IfAtMostOneObstacle;Yes (471ms );471;1448;84,0121933088197;
A* (A Star);11;Chebyshev;IfAtMostOneObstacle;Yes (888ms );888;2051;84,0121933088197;
Best First Search;11;Manhattan;IfAtMostOneObstacle;Yes (15ms );15;285;95,811183182043;
Best First Search;11;Euclidean;IfAtMostOneObstacle;Yes (16ms );16;276;97,2253967444161;
Best First Search;11;Octile;IfAtMostOneObstacle;Yes (13ms );13;286;100,639610306789;
Best First Search;11;Chebyshev;IfAtMostOneObstacle;Yes (19ms );19;303;96,0121933088197;
Dijkstra;11;Manhattan;IfAtMostOneObstacle;Yes (7248ms );7248;5685;84,0121933088197;
Dijkstra;11;Euclidean;IfAtMostOneObstacle;Yes (7530ms );7530;5685;84,0121933088197;
Dijkstra;11;Octile;IfAtMostOneObstacle;Yes (7471ms );7471;5685;84,0121933088197;
Dijkstra;11;Chebyshev;IfAtMostOneObstacle;Yes (6964ms );6964;5685;84,0121933088197;
A* (A Star);12;Manhattan;IfAtMostOneObstacle;Yes (18ms );18;347;87,4974746830583;
A* (A Star);12;Euclidean;IfAtMostOneObstacle;Yes (180ms );180;953;80,6690475583121;
A* (A Star);12;Octile;IfAtMostOneObstacle;Yes (74ms );74;635;80,6690475583121;
A* (A Star);12;Chebyshev;IfAtMostOneObstacle;Yes (371ms );371;1407;80,6690475583121;
Best First Search;12;Manhattan;IfAtMostOneObstacle;Yes (8ms );8;267;102,610173055266;
Best First Search;12;Euclidean;IfAtMostOneObstacle;Yes (6ms );6;244;94,1248916810278;
Best First Search;12;Octile;IfAtMostOneObstacle;Yes (22ms );22;404;94,1248916810278;
Best First Search;12;Chebyshev;IfAtMostOneObstacle;Yes (41ms );41;529;122,911688245431;
Dijkstra;12;Manhattan;IfAtMostOneObstacle;Yes (8327ms );8327;6192;80,6690475583121;
Dijkstra;12;Euclidean;IfAtMostOneObstacle;Yes (8992ms );8992;6192;80,6690475583121;
Dijkstra;12;Octile;IfAtMostOneObstacle;Yes (9043ms );9043;6192;80,6690475583121;
Dijkstra;12;Chebyshev;IfAtMostOneObstacle;Yes (8413ms );8413;6192;80,6690475583121;
