Alg;Map;MapType;Heuristic;Diagonal;Solution;Time;MaxNodes;PathLength;
IDA* (IDA Star);7;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);7;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;7;Random;Manhattan;Never;Yes;42;1534;47;
Dijkstra;7;Random;Euclidean;Never;Yes;40;1534;47;
Dijkstra;7;Random;Octile;Never;Yes;40;1534;47;
Dijkstra;7;Random;Chebyshev;Never;Yes;39;1534;47;
A* (A Star);8;Random;Manhattan;Never;Yes;24;991;116;
A* (A Star);8;Random;Euclidean;Never;Yes;117;2534;116;
A* (A Star);8;Random;Octile;Never;Yes;101;2285;116;
A* (A Star);8;Random;Chebyshev;Never;Yes;134;2797;116;
Best First Search;8;Random;Manhattan;Never;Yes;1;266;132;
Best First Search;8;Random;Euclidean;Never;Yes;1;252;120;
Best First Search;8;Random;Octile;Never;Yes;2;248;120;
Best First Search;8;Random;Chebyshev;Never;Yes;2;266;116;
IDA* (IDA Star);8;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);8;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);8;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);8;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;8;Random;Manhattan;Never;Yes;571;5866;116;
Dijkstra;8;Random;Euclidean;Never;Yes;565;5866;116;
Dijkstra;8;Random;Octile;Never;Yes;575;5866;116;
Dijkstra;8;Random;Chebyshev;Never;Yes;564;5866;116;
A* (A Star);9;Random;Manhattan;Never;Yes;7;531;72;
A* (A Star);9;Random;Euclidean;Never;Yes;14;764;72;
A* (A Star);9;Random;Octile;Never;Yes;11;704;72;
A* (A Star);9;Random;Chebyshev;Never;Yes;19;946;72;
Best First Search;9;Random;Manhattan;Never;Yes;1;238;80;
Best First Search;9;Random;Euclidean;Never;Yes;1;188;74;
Best First Search;9;Random;Octile;Never;Yes;0;194;74;
Best First Search;9;Random;Chebyshev;Never;Yes;1;200;76;
IDA* (IDA Star);9;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);9;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);9;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);9;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;9;Random;Manhattan;Never;Yes;83;2195;72;
Dijkstra;9;Random;Euclidean;Never;Yes;79;2195;72;
Dijkstra;9;Random;Octile;Never;Yes;81;2195;72;
Dijkstra;9;Random;Chebyshev;Never;Yes;79;2195;72;
A* (A Star);10;Random;Manhattan;Never;Yes;1;205;42;
A* (A Star);10;Random;Euclidean;Never;Yes;1;249;42;
A* (A Star);10;Random;Octile;Never;Yes;2;226;42;
A* (A Star);10;Random;Chebyshev;Never;Yes;2;298;42;
Best First Search;10;Random;Manhattan;Never;Yes;0;109;52;
Best First Search;10;Random;Euclidean;Never;Yes;0;86;42;
Best First Search;10;Random;Octile;Never;Yes;0;86;42;
Best First Search;10;Random;Chebyshev;Never;Yes;0;87;42;
IDA* (IDA Star);10;Random;Manhattan;Never;Yes;158;0;42;
IDA* (IDA Star);10;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);10;Random;Octile;Never;Yes;1324;0;42;
IDA* (IDA Star);10;Random;Chebyshev;Never;Yes;3044;0;42;
Dijkstra;10;Random;Manhattan;Never;Yes;24;1145;42;
Dijkstra;10;Random;Euclidean;Never;Yes;23;1145;42;
Dijkstra;10;Random;Octile;Never;Yes;23;1145;42;
Dijkstra;10;Random;Chebyshev;Never;Yes;25;1145;42;
A* (A Star);11;Random;Manhattan;Never;Yes;33;1285;120;
A* (A Star);11;Random;Euclidean;Never;Yes;116;2512;120;
A* (A Star);11;Random;Octile;Never;Yes;100;2307;120;
A* (A Star);11;Random;Chebyshev;Never;Yes;134;2725;120;
Best First Search;11;Random;Manhattan;Never;Yes;3;394;146;
Best First Search;11;Random;Euclidean;Never;Yes;2;327;132;
Best First Search;11;Random;Octile;Never;Yes;2;326;132;
Best First Search;11;Random;Chebyshev;Never;Yes;2;310;132;
IDA* (IDA Star);11;Random;Manhattan;Never;No;5001;0;-1;
IDA* (IDA Star);11;Random;Euclidean;Never;No;5001;0;-1;
IDA* (IDA Star);11;Random;Octile;Never;No;5001;0;-1;
IDA* (IDA Star);11;Random;Chebyshev;Never;No;5001;0;-1;
Dijkstra;11;Random;Manhattan;Never;Yes;539;5731;120;
Dijkstra;11;Random;Euclidean;Never;Yes;548;5731;120;
Dijkstra;11;Random;Octile;Never;Yes;538;5731;120;
Dijkstra;11;Random;Chebyshev;Never;Yes;543;5731;120;
A* (A Star);12;Random;Manhattan;Never;Yes;17;842;99;
