alg;map;heuristic;diagonal;solution;time;maxNodes;pathLength;
Dijkstra;9;Octile;IfAtMostOneObstacle;Yes (11363ms );11363;7362;75,7401153701776;
Dijkstra;9;Chebyshev;IfAtMostOneObstacle;Yes (11355ms );11355;7362;75,7401153701776;
A* (A Star);10;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;164;68,0416305603426;
A* (A Star);10;Euclidean;IfAtMostOneObstacle;Yes (101ms );101;810;68,0416305603426;
A* (A Star);10;Octile;IfAtMostOneObstacle;Yes (11ms );11;295;68,0416305603426;
A* (A Star);10;Chebyshev;IfAtMostOneObstacle;Yes (221ms );221;1153;68,0416305603426;
Best First Search;10;Manhattan;IfAtMostOneObstacle;Yes (3ms );3;164;68,8700576850888;
Best First Search;10;Euclidean;IfAtMostOneObstacle;Yes (3ms );3;164;68,8700576850888;
Best First Search;10;Octile;IfAtMostOneObstacle;Yes (3ms );3;164;68,8700576850888;
Best First Search;10;Chebyshev;IfAtMostOneObstacle;Yes (3ms );3;181;77,254833995939;
IDA* (IDA Star);10;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;77,254833995939;
IDA* (IDA Star);10;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);10;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;77,254833995939;
IDA* (IDA Star);10;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;10;Manhattan;IfAtMostOneObstacle;Yes (6830ms );6830;6020;68,0416305603426;
Dijkstra;10;Euclidean;IfAtMostOneObstacle;Yes (6846ms );6846;6020;68,0416305603426;
Dijkstra;10;Octile;IfAtMostOneObstacle;Yes (6820ms );6820;6020;68,0416305603426;
Dijkstra;10;Chebyshev;IfAtMostOneObstacle;Yes (7000ms );7000;6020;68,0416305603426;
A* (A Star);11;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;71;27,9705627484771;
A* (A Star);11;Euclidean;IfAtMostOneObstacle;Yes (4ms );4;168;27,9705627484771;
A* (A Star);11;Octile;IfAtMostOneObstacle;Yes (4ms );4;147;27,9705627484771;
A* (A Star);11;Chebyshev;IfAtMostOneObstacle;Yes (9ms );9;258;27,9705627484771;
Best First Search;11;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;71;27,9705627484771;
Best First Search;11;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;71;27,9705627484771;
Best First Search;11;Octile;IfAtMostOneObstacle;Yes (0ms );0;71;27,9705627484771;
Best First Search;11;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;72;29,9705627484771;
IDA* (IDA Star);11;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;30,3847763108502;
IDA* (IDA Star);11;Euclidean;IfAtMostOneObstacle;Yes (937ms );937;0;29,9705627484771;
IDA* (IDA Star);11;Octile;IfAtMostOneObstacle;Yes (2ms );2;0;29,9705627484771;
IDA* (IDA Star);11;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;11;Manhattan;IfAtMostOneObstacle;Yes (320ms );320;1399;27,9705627484771;
Dijkstra;11;Euclidean;IfAtMostOneObstacle;Yes (323ms );323;1399;27,9705627484771;
Dijkstra;11;Octile;IfAtMostOneObstacle;Yes (322ms );322;1399;27,9705627484771;
Dijkstra;11;Chebyshev;IfAtMostOneObstacle;Yes (325ms );325;1399;27,9705627484771;
A* (A Star);12;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;134;48,8406204335659;
A* (A Star);12;Euclidean;IfAtMostOneObstacle;Yes (10ms );10;264;48,8406204335659;
A* (A Star);12;Octile;IfAtMostOneObstacle;Yes (4ms );4;202;48,8406204335659;
A* (A Star);12;Chebyshev;IfAtMostOneObstacle;Yes (79ms );79;683;48,8406204335659;
Best First Search;12;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;134;48,8406204335659;
Best First Search;12;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;134;48,8406204335659;
Best First Search;12;Octile;IfAtMostOneObstacle;Yes (1ms );1;134;48,8406204335659;
Best First Search;12;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;133;48,8406204335659;
IDA* (IDA Star);12;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;0;48,8406204335659;
IDA* (IDA Star);12;Euclidean;IfAtMostOneObstacle;Yes (1544ms );1544;0;48,8406204335659;
IDA* (IDA Star);12;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;48,8406204335659;
IDA* (IDA Star);12;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;12;Manhattan;IfAtMostOneObstacle;Yes (2296ms );2296;3379;48,8406204335659;
Dijkstra;12;Euclidean;IfAtMostOneObstacle;Yes (2290ms );2290;3379;48,8406204335659;
Dijkstra;12;Octile;IfAtMostOneObstacle;Yes (2305ms );2305;3379;48,8406204335659;
Dijkstra;12;Chebyshev;IfAtMostOneObstacle;Yes (2315ms );2315;3379;48,8406204335659;
A* (A Star);13;Manhattan;IfAtMostOneObstacle;Yes (5ms );5;170;45,1126983722081;
A* (A Star);13;Euclidean;IfAtMostOneObstacle;Yes (28ms );28;444;43,9411254969543;
A* (A Star);13;Octile;IfAtMostOneObstacle;Yes (19ms );19;344;43,9411254969543;
A* (A Star);13;Chebyshev;IfAtMostOneObstacle;Yes (53ms );53;580;43,9411254969543;
Best First Search;13;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;136;48,4264068711928;
Best First Search;13;Euclidean;IfAtMostOneObstacle;Yes (1ms );1;127;46,4264068711928;
Best First Search;13;Octile;IfAtMostOneObstacle;Yes (1ms );1;127;46,4264068711928;
Best First Search;13;Chebyshev;IfAtMostOneObstacle;Yes (1ms );1;110;43,9411254969543;
IDA* (IDA Star);13;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);13;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);13;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);13;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;13;Manhattan;IfAtMostOneObstacle;Yes (1819ms );1819;3137;43,9411254969543;
Dijkstra;13;Euclidean;IfAtMostOneObstacle;Yes (1781ms );1781;3137;43,9411254969543;
Dijkstra;13;Octile;IfAtMostOneObstacle;Yes (1757ms );1757;3137;43,9411254969543;
Dijkstra;13;Chebyshev;IfAtMostOneObstacle;Yes (1760ms );1760;3137;43,9411254969543;
A* (A Star);14;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;104;29,0710678118655;
A* (A Star);14;Euclidean;IfAtMostOneObstacle;Yes (4ms );4;177;29,0710678118655;
A* (A Star);14;Octile;IfAtMostOneObstacle;Yes (3ms );3;156;29,0710678118655;
A* (A Star);14;Chebyshev;IfAtMostOneObstacle;Yes (6ms );6;214;29,0710678118655;
Best First Search;14;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;85;35,698484809835;
Best First Search;14;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;85;35,698484809835;
Best First Search;14;Octile;IfAtMostOneObstacle;Yes (0ms );0;85;35,698484809835;
Best First Search;14;Chebyshev;IfAtMostOneObstacle;Yes (0ms );0;70;29,0710678118655;
IDA* (IDA Star);14;Manhattan;IfAtMostOneObstacle;Yes (1ms );1;0;34,2842712474619;
IDA* (IDA Star);14;Euclidean;IfAtMostOneObstacle;Yes (154ms );154;0;34,2842712474619;
IDA* (IDA Star);14;Octile;IfAtMostOneObstacle;Yes (0ms );0;0;34,2842712474619;
IDA* (IDA Star);14;Chebyshev;IfAtMostOneObstacle;Yes (24ms );24;0;34,2842712474619;
Dijkstra;14;Manhattan;IfAtMostOneObstacle;Yes (227ms );227;1137;29,0710678118655;
Dijkstra;14;Euclidean;IfAtMostOneObstacle;Yes (226ms );226;1137;29,0710678118655;
Dijkstra;14;Octile;IfAtMostOneObstacle;Yes (225ms );225;1137;29,0710678118655;
Dijkstra;14;Chebyshev;IfAtMostOneObstacle;Yes (230ms );230;1137;29,0710678118655;
A* (A Star);15;Manhattan;IfAtMostOneObstacle;Yes (36ms );36;489;62,7401153701776;
A* (A Star);15;Euclidean;IfAtMostOneObstacle;Yes (141ms );141;967;62,1543289325507;
A* (A Star);15;Octile;IfAtMostOneObstacle;Yes (113ms );113;847;62,1543289325507;
A* (A Star);15;Chebyshev;IfAtMostOneObstacle;Yes (186ms );186;1082;62,1543289325507;
Best First Search;15;Manhattan;IfAtMostOneObstacle;Yes (2ms );2;169;66,3969696196699;
Best First Search;15;Euclidean;IfAtMostOneObstacle;Yes (2ms );2;165;66,3969696196699;
Best First Search;15;Octile;IfAtMostOneObstacle;Yes (2ms );2;165;66,3969696196699;
Best First Search;15;Chebyshev;IfAtMostOneObstacle;Yes (3ms );3;186;68,7401153701776;
IDA* (IDA Star);15;Manhattan;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);15;Euclidean;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);15;Octile;IfAtMostOneObstacle;No;5001;0;-1;
IDA* (IDA Star);15;Chebyshev;IfAtMostOneObstacle;No;5001;0;-1;
Dijkstra;15;Manhattan;IfAtMostOneObstacle;Yes (1178ms );1178;2674;62,1543289325507;
Dijkstra;15;Euclidean;IfAtMostOneObstacle;Yes (1179ms );1179;2674;62,1543289325507;
Dijkstra;15;Octile;IfAtMostOneObstacle;Yes (1182ms );1182;2674;62,1543289325507;
Dijkstra;15;Chebyshev;IfAtMostOneObstacle;Yes (1180ms );1180;2674;62,1543289325507;
A* (A Star);16;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;70;23,2132034355964;
A* (A Star);16;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;76;23,2132034355964;
A* (A Star);16;Octile;IfAtMostOneObstacle;Yes (0ms );0;76;23,2132034355964;
A* (A Star);16;Chebyshev;IfAtMostOneObstacle;Yes (4ms );4;172;23,2132034355964;
Best First Search;16;Manhattan;IfAtMostOneObstacle;Yes (0ms );0;70;23,2132034355964;
Best First Search;16;Euclidean;IfAtMostOneObstacle;Yes (0ms );0;70;23,2132034355964;
Best First Search;16;Octile;IfAtMostOneObstacle;Yes (0ms );0;70;23,2132034355964;
